"file_size_bytes","phone_id","response_reason","response_status","signal_bars","signal_dbm","time_date","time_download","time_epoch"
1024,2,"OK",200,4,93,2007-05-18 23:41:11,1.66,1179556871
10240,2,"OK",200,6,87,2007-05-18 23:41:17,2.92,1179556877
51200,2,"OK",200,6,87,2007-05-18 23:41:27,7.58,1179556887
102400,2,"OK",200,6,87,2007-05-18 23:41:53,23.72,1179556913
1024,2,"OK",200,6,87,2007-05-18 23:41:58,2.09,1179556918
10240,2,"OK",200,6,87,2007-05-18 23:42:04,2.42,1179556924
51200,2,"OK",200,6,87,2007-05-18 23:42:13,7.64,1179556933
102400,2,"OK",200,6,87,2007-05-18 23:42:27,11.39,1179556947
1024,2,"OK",200,6,87,2007-05-18 23:42:31,1.55,1179556951
10240,2,"OK",200,6,87,2007-05-18 23:42:36,2.5,1179556956
51200,2,"OK",200,6,87,2007-05-18 23:42:45,6.81,1179556965
102400,2,"OK",200,6,87,2007-05-18 23:43:00,12.53,1179556980
1024,2,"OK",200,6,87,2007-05-18 23:43:04,1.61,1179556984
10240,2,"OK",200,6,87,2007-05-18 23:43:09,2.39,1179556989
51200,2,"OK",200,6,87,2007-05-18 23:43:17,6.31,1179556997
102400,2,"OK",200,6,87,2007-05-18 23:43:32,12.28,1179557012
1024,2,"OK",200,6,87,2007-05-18 23:43:37,1.84,1179557017
10240,2,"OK",200,6,87,2007-05-18 23:43:41,2.19,1179557021
51200,2,"OK",200,6,87,2007-05-18 23:43:49,5.66,1179557029
102400,2,"OK",200,6,87,2007-05-18 23:44:02,11.03,1179557042
1024,2,"OK",200,6,87,2007-05-18 23:44:06,1.42,1179557046
10240,2,"OK",200,6,87,2007-05-18 23:44:10,2.22,1179557050
51200,2,"OK",200,6,87,2007-05-18 23:44:18,5.53,1179557058
102400,2,"OK",200,6,87,2007-05-18 23:44:31,11,1179557071
1024,2,"OK",200,6,87,2007-05-18 23:44:34,1.17,1179557074
10240,2,"OK",200,6,87,2007-05-18 23:44:39,2.39,1179557079
51200,2,"OK",200,6,87,2007-05-18 23:44:47,5.78,1179557087
102400,2,"OK",200,6,87,2007-05-18 23:45:00,10.88,1179557100
1024,2,"OK",200,6,87,2007-05-18 23:45:04,1.55,1179557104
10240,2,"OK",200,6,87,2007-05-18 23:45:09,2.45,1179557109
51200,2,"OK",200,6,87,2007-05-18 23:45:20,7.88,1179557120
102400,2,"OK",200,6,87,2007-05-18 23:45:34,12.69,1179557134
1024,2,"OK",200,6,87,2007-05-18 23:45:39,1.52,1179557139
10240,2,"OK",200,6,87,2007-05-18 23:45:44,2.28,1179557144
51200,2,"OK",200,6,87,2007-05-18 23:45:52,5.81,1179557152
102400,2,"OK",200,6,87,2007-05-18 23:46:05,10.91,1179557165
1024,2,"OK",200,6,87,2007-05-18 23:46:09,1.38,1179557169
10240,2,"OK",200,6,87,2007-05-18 23:46:13,2.13,1179557173
51200,2,"OK",200,6,87,2007-05-18 23:46:22,6.45,1179557182
102400,2,"OK",200,6,87,2007-05-18 23:46:34,9.83,1179557194
1024,2,"OK",200,6,87,2007-05-18 23:46:38,1.61,1179557198
10240,2,"OK",200,6,87,2007-05-18 23:46:42,2.41,1179557202
51200,2,"OK",200,6,87,2007-05-18 23:46:50,5.36,1179557210
102400,2,"OK",200,6,87,2007-05-18 23:47:02,9.64,1179557222
1024,2,"OK",200,6,87,2007-05-18 23:47:05,1.38,1179557225
10240,2,"OK",200,6,87,2007-05-18 23:47:10,2.25,1179557230
51200,2,"OK",200,6,87,2007-05-18 23:47:18,5.5,1179557238
102400,2,"OK",200,6,87,2007-05-18 23:47:30,9.89,1179557250
1024,2,"OK",200,6,87,2007-05-18 23:47:33,1.22,1179557253
10240,2,"OK",200,6,87,2007-05-18 23:47:37,2.05,1179557257
51200,2,"OK",200,6,87,2007-05-18 23:47:45,5.83,1179557265
102400,2,"OK",200,6,87,2007-05-18 23:47:58,10.14,1179557278
1024,2,"OK",200,6,87,2007-05-18 23:48:02,1.63,1179557282
10240,2,"OK",200,6,87,2007-05-18 23:48:07,2.55,1179557287
51200,2,"OK",200,6,87,2007-05-18 23:48:15,5.77,1179557295
102400,2,"OK",200,6,87,2007-05-18 23:48:27,10.36,1179557307
1024,2,"OK",200,6,87,2007-05-18 23:48:31,1.78,1179557311
10240,2,"OK",200,6,87,2007-05-18 23:48:36,2.19,1179557316
51200,2,"OK",200,6,87,2007-05-18 23:48:44,6.05,1179557324
102400,2,"OK",200,6,87,2007-05-18 23:48:56,9.8,1179557336
1024,2,"OK",200,6,87,2007-05-18 23:49:00,1.44,1179557340
10240,2,"OK",200,6,87,2007-05-18 23:49:04,2.67,1179557344
51200,2,"OK",200,6,87,2007-05-18 23:49:12,5.78,1179557352
102400,2,"OK",200,6,87,2007-05-18 23:49:25,10.63,1179557365
1024,2,"OK",200,6,87,2007-05-18 23:49:28,1.23,1179557368
10240,2,"OK",200,6,87,2007-05-18 23:49:33,2,1179557373
51200,2,"OK",200,6,87,2007-05-18 23:49:40,5.78,1179557380
102400,2,"OK",200,6,87,2007-05-18 23:49:54,11.3,1179557394
1024,2,"OK",200,6,87,2007-05-18 23:49:58,1.44,1179557398
10240,2,"OK",200,6,87,2007-05-18 23:50:03,2.31,1179557403
51200,2,"OK",200,6,87,2007-05-18 23:50:12,6.84,1179557412
102400,2,"OK",200,6,87,2007-05-18 23:50:27,12.89,1179557427
1024,2,"OK",200,6,87,2007-05-18 23:50:31,1.64,1179557431
10240,2,"OK",200,6,87,2007-05-18 23:50:36,2.08,1179557436
51200,2,"OK",200,6,87,2007-05-18 23:50:44,6.23,1179557444
102400,2,"OK",200,6,87,2007-05-18 23:50:57,11.25,1179557457
1024,2,"OK",200,6,87,2007-05-18 23:51:01,1.47,1179557461
10240,2,"OK",200,6,87,2007-05-18 23:51:06,2.27,1179557466
51200,2,"OK",200,6,87,2007-05-18 23:51:14,5.92,1179557474
102400,2,"OK",200,6,87,2007-05-18 23:51:29,12.56,1179557489
1024,2,"OK",200,6,87,2007-05-18 23:51:33,1.42,1179557493
10240,2,"OK",200,6,87,2007-05-18 23:51:37,2.11,1179557497
51200,2,"OK",200,6,87,2007-05-18 23:51:46,5.94,1179557506
102400,2,"OK",200,6,87,2007-05-18 23:52:00,12.34,1179557520
1024,2,"OK",200,6,87,2007-05-18 23:52:04,1.88,1179557524
10240,2,"OK",200,6,87,2007-05-18 23:52:09,2.23,1179557529
51200,2,"OK",200,6,87,2007-05-18 23:52:19,7.63,1179557539
102400,2,"OK",200,6,87,2007-05-18 23:52:35,13.33,1179557555
1024,2,"OK",200,6,87,2007-05-18 23:52:39,1.58,1179557559
10240,2,"OK",200,6,87,2007-05-18 23:52:43,2.16,1179557563
51200,2,"OK",200,6,87,2007-05-18 23:52:52,6.38,1179557572
102400,2,"OK",200,6,87,2007-05-18 23:53:05,11.66,1179557585
1024,2,"OK",200,6,87,2007-05-18 23:53:10,1.63,1179557590
10240,2,"OK",200,6,87,2007-05-18 23:53:15,2.38,1179557595
51200,2,"OK",200,6,87,2007-05-18 23:53:24,6.53,1179557604
102400,2,"OK",200,6,87,2007-05-18 23:53:37,10.64,1179557617
1024,2,"OK",200,6,87,2007-05-18 23:53:41,1.44,1179557621
10240,2,"OK",200,6,87,2007-05-18 23:53:45,2.53,1179557625
51200,2,"OK",200,6,87,2007-05-18 23:53:54,6.67,1179557634
102400,2,"OK",200,6,87,2007-05-18 23:54:09,13.08,1179557649
1024,2,"OK",200,6,87,2007-05-18 23:54:13,1.36,1179557653
10240,2,"OK",200,6,87,2007-05-18 23:54:18,2.77,1179557658
51200,2,"OK",200,6,87,2007-05-18 23:54:27,6.41,1179557667
102400,2,"OK",200,6,87,2007-05-18 23:54:42,12.33,1179557682
1024,2,"OK",200,6,87,2007-05-18 23:54:45,1.25,1179557685
10240,2,"OK",200,6,87,2007-05-18 23:54:50,2.08,1179557690
51200,2,"OK",200,6,87,2007-05-18 23:54:58,6.28,1179557698
102400,2,"OK",200,6,87,2007-05-18 23:55:11,11.16,1179557711
1024,2,"OK",200,6,87,2007-05-18 23:55:15,1.33,1179557715
10240,2,"OK",200,6,87,2007-05-18 23:55:20,2.25,1179557720
51200,2,"OK",200,6,87,2007-05-18 23:55:28,6.25,1179557728
102400,2,"OK",200,6,87,2007-05-18 23:55:41,10.5,1179557741
1024,2,"OK",200,6,87,2007-05-18 23:55:45,1.55,1179557745
10240,2,"OK",200,6,87,2007-05-18 23:55:50,2.84,1179557750
51200,2,"OK",200,6,87,2007-05-18 23:55:58,6,1179557758
102400,2,"OK",200,6,87,2007-05-18 23:56:12,11.64,1179557772
1024,2,"OK",200,6,87,2007-05-18 23:56:16,1.66,1179557776
10240,2,"OK",200,6,87,2007-05-18 23:56:20,2.25,1179557780
51200,2,"OK",200,6,87,2007-05-18 23:56:28,5.31,1179557788
102400,2,"OK",200,6,87,2007-05-18 23:56:40,10.3,1179557800
1024,2,"OK",200,6,87,2007-05-18 23:56:44,1.45,1179557804
10240,2,"OK",200,6,87,2007-05-18 23:56:48,2.05,1179557808
51200,2,"OK",200,6,87,2007-05-18 23:56:56,5.75,1179557816
102400,2,"OK",200,6,87,2007-05-18 23:57:08,9.48,1179557828
1024,2,"OK",200,6,87,2007-05-18 23:57:12,1.44,1179557832
10240,2,"OK",200,6,87,2007-05-18 23:57:16,2.2,1179557836
51200,2,"OK",200,6,87,2007-05-18 23:57:25,6.45,1179557845
102400,2,"OK",200,6,87,2007-05-18 23:57:38,10.77,1179557858
1024,2,"OK",200,6,87,2007-05-18 23:57:42,1.41,1179557862
10240,2,"OK",200,6,87,2007-05-18 23:57:46,2.27,1179557866
51200,2,"OK",200,6,87,2007-05-18 23:57:54,5.66,1179557874
102400,2,"OK",200,6,87,2007-05-18 23:58:08,11.63,1179557888
1024,2,"OK",200,6,87,2007-05-18 23:58:13,1.83,1179557893
10240,2,"OK",200,6,87,2007-05-18 23:58:18,2.72,1179557898
51200,2,"OK",200,6,87,2007-05-18 23:58:27,6.72,1179557907
102400,2,"OK",200,6,87,2007-05-18 23:58:40,10.97,1179557920
1024,2,"OK",200,6,87,2007-05-18 23:58:44,1.47,1179557924
10240,2,"OK",200,6,87,2007-05-18 23:58:49,2.31,1179557929
51200,2,"OK",200,6,87,2007-05-18 23:58:58,6.95,1179557938
102400,2,"OK",200,6,87,2007-05-18 23:59:14,13.78,1179557954
1024,2,"OK",200,6,87,2007-05-18 23:59:18,1.34,1179557958
10240,2,"OK",200,6,87,2007-05-18 23:59:23,2.42,1179557963
51200,2,"OK",200,6,87,2007-05-18 23:59:31,6.53,1179557971
102400,2,"OK",200,6,87,2007-05-18 23:59:47,13.3,1179557987
1024,2,"OK",200,6,87,2007-05-18 23:59:51,1.61,1179557991
10240,2,"OK",200,6,87,2007-05-18 23:59:56,2.77,1179557996
51200,2,"OK",200,6,87,2007-05-19 00:00:05,6.7,1179558005
102400,2,"OK",200,6,87,2007-05-19 00:00:19,11.36,1179558019
1024,2,"OK",200,6,87,2007-05-19 00:00:23,1.75,1179558023
10240,2,"OK",200,6,87,2007-05-19 00:00:27,2.33,1179558027
51200,2,"OK",200,6,87,2007-05-19 00:00:36,5.86,1179558036
102400,2,"OK",200,6,87,2007-05-19 00:00:50,11.98,1179558050
1024,2,"OK",200,6,87,2007-05-19 00:00:54,1.44,1179558054
10240,2,"OK",200,6,87,2007-05-19 00:00:59,2.27,1179558059
51200,2,"OK",200,6,87,2007-05-19 00:01:07,6.09,1179558067
102400,2,"OK",200,6,87,2007-05-19 00:01:20,11.27,1179558080
1024,2,"OK",200,6,87,2007-05-19 00:01:24,1.23,1179558084
10240,2,"OK",200,6,87,2007-05-19 00:01:29,2.47,1179558089
51200,2,"OK",200,6,87,2007-05-19 00:01:38,6.09,1179558098
102400,2,"OK",200,6,87,2007-05-19 00:01:51,10.55,1179558111
1024,2,"OK",200,6,87,2007-05-19 00:01:55,1.44,1179558115
10240,2,"OK",200,6,87,2007-05-19 00:02:00,2.34,1179558120
51200,2,"OK",200,6,87,2007-05-19 00:02:09,7.23,1179558129
102400,2,"OK",200,6,87,2007-05-19 00:02:24,12.25,1179558144
1024,2,"OK",200,6,87,2007-05-19 00:02:28,1.42,1179558148
10240,2,"OK",200,6,87,2007-05-19 00:02:33,2.52,1179558153
51200,2,"OK",200,6,87,2007-05-19 00:02:42,6.47,1179558162
102400,2,"OK",200,6,87,2007-05-19 00:02:55,11.13,1179558175
1024,2,"OK",200,6,87,2007-05-19 00:03:00,1.42,1179558180
10240,2,"OK",200,6,87,2007-05-19 00:03:05,2.59,1179558185
51200,2,"OK",200,6,87,2007-05-19 00:03:14,6.59,1179558194
102400,2,"OK",200,6,87,2007-05-19 00:03:28,11.83,1179558208
1024,2,"OK",200,6,87,2007-05-19 00:03:32,1.72,1179558212
10240,2,"OK",200,6,87,2007-05-19 00:03:37,3.31,1179558217
51200,2,"OK",200,6,87,2007-05-19 00:03:46,6.88,1179558226
102400,2,"OK",200,6,87,2007-05-19 00:04:03,13.94,1179558243
1024,2,"OK",200,6,87,2007-05-19 00:04:06,1.48,1179558246
10240,2,"OK",200,6,87,2007-05-19 00:04:11,2.75,1179558251
51200,2,"OK",200,6,87,2007-05-19 00:04:21,7.47,1179558261
102400,2,"OK",200,6,87,2007-05-19 00:04:38,13.81,1179558278
1024,2,"OK",200,6,87,2007-05-19 00:04:42,1.38,1179558282
10240,2,"OK",200,6,87,2007-05-19 00:04:47,2.56,1179558287
51200,2,"OK",200,6,87,2007-05-19 00:04:56,6.33,1179558296
102400,2,"OK",200,6,87,2007-05-19 00:05:10,12.11,1179558310
1024,2,"OK",200,6,87,2007-05-19 00:05:14,1.42,1179558314
10240,2,"OK",200,6,87,2007-05-19 00:05:19,2.42,1179558319
51200,2,"OK",200,6,87,2007-05-19 00:05:29,7.36,1179558329
102400,2,"OK",200,6,87,2007-05-19 00:05:45,13.58,1179558345
1024,2,"OK",200,6,87,2007-05-19 00:05:49,1.56,1179558349
10240,2,"OK",200,6,87,2007-05-19 00:05:53,2.55,1179558353
51200,2,"OK",200,6,87,2007-05-19 00:06:02,6.28,1179558362
102400,2,"OK",200,6,87,2007-05-19 00:06:14,9.92,1179558374
1024,2,"OK",200,6,87,2007-05-19 00:06:18,1.45,1179558378
10240,2,"OK",200,6,87,2007-05-19 00:06:23,2.45,1179558383
51200,2,"OK",200,6,87,2007-05-19 00:06:31,6.14,1179558391
102400,2,"OK",200,6,87,2007-05-19 00:06:43,9.84,1179558403
1024,2,"OK",200,6,87,2007-05-19 00:06:48,1.72,1179558408
10240,2,"OK",200,6,87,2007-05-19 00:06:53,2.56,1179558413
51200,2,"OK",200,6,87,2007-05-19 00:07:25,29.2,1179558445
102400,2,"OK",200,6,87,2007-05-19 00:07:40,13.84,1179558460
1024,2,"OK",200,6,87,2007-05-19 00:07:44,1.5,1179558464
10240,2,"OK",200,6,87,2007-05-19 00:07:49,2.11,1179558469
51200,2,"OK",200,6,87,2007-05-19 00:07:57,6.06,1179558477
102400,2,"OK",200,6,87,2007-05-19 00:08:09,10.36,1179558489
1024,2,"OK",200,6,87,2007-05-19 00:08:13,1.34,1179558493
10240,2,"OK",200,6,87,2007-05-19 00:08:18,2.53,1179558498
51200,2,"OK",200,6,87,2007-05-19 00:08:27,6.38,1179558507
102400,2,"OK",200,6,87,2007-05-19 00:08:41,11.67,1179558521
1024,2,"OK",200,6,87,2007-05-19 00:08:45,1.39,1179558525
10240,2,"OK",200,6,87,2007-05-19 00:08:49,2.42,1179558529
51200,2,"OK",200,6,87,2007-05-19 00:08:58,5.78,1179558538
102400,2,"OK",200,6,87,2007-05-19 00:09:09,9.91,1179558549
1024,2,"OK",200,6,87,2007-05-19 00:09:13,1.53,1179558553
10240,2,"OK",200,6,87,2007-05-19 00:09:18,2.22,1179558558
51200,2,"OK",200,6,87,2007-05-19 00:09:25,5.66,1179558565
