sbid,file_size_bytes,phone_id,response_reason,response_status,signal_bars,signal_dbm,time_date,time_download,time_epoch
1,1024,0,OK,200,7,77,2007-05-22 13:05:06,0.609375,1179864306
2,10240,0,OK,200,7,77,2007-05-22 13:05:07,0.5625,1179864307
3,51200,0,OK,200,7,77,2007-05-22 13:05:09,0.625,1179864309
4,102400,0,OK,200,7,77,2007-05-22 13:05:11,0.96875,1179864311
5,1024,0,OK,200,7,77,2007-05-22 13:05:13,0.578125,1179864313
6,10240,0,OK,200,7,77,2007-05-22 13:05:14,0.5625,1179864314
7,51200,0,OK,200,7,77,2007-05-22 13:05:16,0.734375,1179864316
8,102400,0,OK,200,7,77,2007-05-22 13:05:17,0.84375,1179864317
9,1024,0,OK,200,7,77,2007-05-22 13:05:19,0.546875,1179864319
10,10240,0,OK,200,7,77,2007-05-22 13:05:20,0.578125,1179864320
11,51200,0,OK,200,7,77,2007-05-22 13:05:22,0.640625,1179864322
12,102400,0,OK,200,7,77,2007-05-22 13:05:24,0.75,1179864324
13,1024,0,OK,200,7,77,2007-05-22 13:05:27,0.546875,1179864327
14,10240,0,OK,200,7,77,2007-05-22 13:05:29,0.65625,1179864329
15,51200,0,OK,200,7,77,2007-05-22 13:05:31,0.78125,1179864331
16,102400,0,OK,200,7,77,2007-05-22 13:05:33,0.90625,1179864333
17,1024,0,OK,200,7,77,2007-05-22 13:05:35,0.578125,1179864335
18,10240,0,OK,200,7,77,2007-05-22 13:05:36,0.640625,1179864336
19,51200,0,OK,200,7,77,2007-05-22 13:05:38,0.96875,1179864338
20,102400,0,OK,200,7,77,2007-05-22 13:05:40,0.734375,1179864340
21,1024,0,OK,200,7,77,2007-05-22 13:05:42,0.546875,1179864342
22,10240,0,OK,200,7,77,2007-05-22 13:05:44,0.578125,1179864344
23,51200,0,OK,200,7,77,2007-05-22 13:05:45,0.6875,1179864345
24,102400,0,OK,200,7,77,2007-05-22 13:05:47,0.859375,1179864347
25,1024,0,OK,200,7,77,2007-05-22 13:05:49,0.609375,1179864349
26,10240,0,OK,200,7,77,2007-05-22 13:05:50,0.59375,1179864350
27,51200,0,OK,200,7,77,2007-05-22 13:05:52,0.734375,1179864352
28,102400,0,OK,200,7,77,2007-05-22 13:05:54,0.765625,1179864354
29,1024,0,OK,200,7,77,2007-05-22 13:05:56,0.671875,1179864356
30,10240,0,OK,200,7,77,2007-05-22 13:05:58,0.65625,1179864358
31,51200,0,OK,200,7,77,2007-05-22 13:05:59,0.71875,1179864359
32,102400,0,OK,200,7,77,2007-05-22 13:06:01,0.828125,1179864361
33,1024,0,OK,200,7,77,2007-05-22 13:06:03,0.59375,1179864363
34,10240,0,OK,200,7,77,2007-05-22 13:06:04,0.625,1179864364
35,51200,0,OK,200,7,77,2007-05-22 13:06:06,0.78125,1179864366
36,102400,0,OK,200,7,77,2007-05-22 13:06:08,1.0625,1179864368
37,1024,0,OK,200,7,77,2007-05-22 13:06:10,0.625,1179864370
38,10240,0,OK,200,7,77,2007-05-22 13:06:16,4.17188,1179864376
39,51200,0,OK,200,7,77,2007-05-22 13:06:17,0.921875,1179864377
40,102400,0,OK,200,7,77,2007-05-22 13:06:21,2.85938,1179864381
41,1024,0,OK,200,7,77,2007-05-22 13:06:23,0.578125,1179864383
42,10240,0,OK,200,7,77,2007-05-22 13:06:25,0.59375,1179864385
43,51200,0,OK,200,7,77,2007-05-22 13:06:26,0.71875,1179864386
44,102400,0,OK,200,7,77,2007-05-22 13:06:28,0.765625,1179864388
45,1024,0,OK,200,7,77,2007-05-22 13:06:30,0.6875,1179864390
46,10240,0,OK,200,7,77,2007-05-22 13:06:31,0.59375,1179864391
47,51200,0,OK,200,7,77,2007-05-22 13:06:33,0.890625,1179864393
48,102400,0,OK,200,7,77,2007-05-22 13:06:35,0.78125,1179864395
49,1024,0,OK,200,7,77,2007-05-22 13:06:37,0.59375,1179864397
50,10240,0,OK,200,7,77,2007-05-22 13:06:39,0.78125,1179864399
