"sbid"	"file_size_bytes"	"phone_id"	"response_reason"	"response_status"	"signal_bars"	"signal_dbm"	"time_date"	"time_download"	"time_epoch"
1	1024	0	"OK"	200	0	0	2007-06-02 03:41:08	0.79	1180780868.36
2	10240	0	"OK"	200	0	0	2007-06-02 03:41:12	1.99	1180780872.01
3	51200	0	"OK"	200	0	0	2007-06-02 03:41:17	4.23	1180780877.5
4	102400	0	"OK"	200	0	0	2007-06-02 03:41:32	12.94	1180780892.73
5	1024	0	"OK"	200	0	0	2007-06-02 03:41:35	0.89	1180780895.47
6	10240	0	"OK"	200	0	0	2007-06-02 03:41:39	2.51	1180780899.51
7	51200	0	"OK"	200	0	0	2007-06-02 03:41:45	4.86	1180780905.65
8	102400	0	"OK"	200	0	0	2007-06-02 03:41:53	6.48	1180780913.43
9	1024	0	"OK"	200	0	0	2007-06-02 03:41:55	0.81	1180780915.61
10	10240	0	"OK"	200	0	0	2007-06-02 03:41:58	1.64	1180780918.53
11	51200	0	"OK"	200	0	0	2007-06-02 03:42:04	4.43	1180780924.35
12	102400	0	"OK"	200	0	0	2007-06-02 03:42:12	6.64	1180780932.27
13	1024	0	"OK"	200	0	0	2007-06-02 03:42:14	0.88	1180780934.43
14	10240	0	"OK"	200	0	0	2007-06-02 03:42:17	1.74	1180780937.46
15	51200	0	"OK"	200	0	0	2007-06-02 03:42:23	4.38	1180780943.37
16	102400	0	"OK"	200	0	0	2007-06-02 03:42:31	6.72	1180780951.34
17	1024	0	"OK"	200	0	0	2007-06-02 03:42:34	1.81	1180780954.45
18	10240	0	"OK"	200	0	0	2007-06-02 03:42:42	1.96	1180780962.81
19	51200	0	"OK"	200	0	0	2007-06-02 03:42:48	4.78	1180780968.97
20	102400	0	"OK"	200	0	0	2007-06-02 03:42:57	7.62	1180780977.96
21	1024	0	"OK"	200	0	0	2007-06-02 03:43:00	0.79	1180780980.22
22	10240	0	"OK"	200	0	0	2007-06-02 03:43:03	1.66	1180780983.17
23	51200	0	"OK"	200	0	0	2007-06-02 03:43:09	4.52	1180780989.05
24	102400	0	"OK"	200	0	0	2007-06-02 03:43:17	7.3	1180780997.61
25	1024	0	"OK"	200	0	0	2007-06-02 03:43:19	0.88	1180780999.92
26	10240	0	"OK"	200	0	0	2007-06-02 03:43:22	1.64	1180781002.95
27	51200	0	"OK"	200	0	0	2007-06-02 03:43:28	4.16	1180781008.43
28	102400	0	"OK"	200	0	0	2007-06-02 03:43:36	7.02	1180781016.77
29	1024	0	"OK"	200	0	0	2007-06-02 03:43:38	0.77	1180781018.82
30	10240	0	"OK"	200	0	0	2007-06-02 03:43:41	1.62	1180781021.8
31	51200	0	"OK"	200	0	0	2007-06-02 03:43:47	4.25	1180781027.31
32	102400	0	"OK"	200	0	0	2007-06-02 03:43:55	6.51	1180781035.06
33	1024	0	"OK"	200	0	0	2007-06-02 03:43:57	0.81	1180781037.15
34	10240	0	"OK"	200	0	0	2007-06-02 03:44:00	1.74	1180781040.4
35	51200	0	"OK"	200	0	0	2007-06-02 03:44:05	4.07	1180781045.83
36	102400	0	"OK"	200	0	0	2007-06-02 03:44:13	6.66	1180781053.91
37	1024	0	"OK"	200	0	0	2007-06-02 03:44:15	0.75	1180781055.92
38	10240	0	"OK"	200	0	0	2007-06-02 03:44:18	1.66	1180781058.93
39	51200	0	"OK"	200	0	0	2007-06-02 03:44:24	4.22	1180781064.53
40	102400	0	"OK"	200	0	0	2007-06-02 03:44:32	6.5	1180781072.37
41	1024	0	"OK"	200	0	0	2007-06-02 03:44:34	0.75	1180781074.34
42	10240	0	"OK"	200	0	0	2007-06-02 03:44:37	1.7	1180781077.3
43	51200	0	"OK"	200	0	0	2007-06-02 03:44:42	4.07	1180781082.69
44	102400	0	"OK"	200	0	0	2007-06-02 03:44:50	6.96	1180781090.96
45	1024	0	"OK"	200	0	0	2007-06-02 03:44:53	0.81	1180781093.15
46	10240	0	"OK"	200	0	0	2007-06-02 03:44:56	1.62	1180781096.08
47	51200	0	"OK"	200	0	0	2007-06-02 03:45:01	4.1	1180781101.47
48	102400	0	"OK"	200	0	0	2007-06-02 03:45:09	6.62	1180781109.34
49	1024	0	"OK"	200	0	0	2007-06-02 03:45:11	0.81	1180781111.46
50	10240	0	"OK"	200	0	0	2007-06-02 03:45:14	1.68	1180781114.57
51	51200	0	"OK"	200	0	0	2007-06-02 03:45:20	4.26	1180781120.13
52	102400	0	"OK"	200	0	0	2007-06-02 03:45:28	7	1180781128.44
53	1024	0	"OK"	200	0	0	2007-06-02 03:45:30	0.75	1180781130.62
54	10240	0	"OK"	200	0	0	2007-06-02 03:45:33	1.64	1180781133.59
55	51200	0	"OK"	200	0	0	2007-06-02 03:45:39	4.52	1180781139.4
56	102400	0	"OK"	200	0	0	2007-06-02 03:45:47	6.8	1180781147.65
57	1024	0	"OK"	200	0	0	2007-06-02 03:45:49	0.85	1180781149.91
58	10240	0	"OK"	200	0	0	2007-06-02 03:45:52	1.7	1180781152.9
59	51200	0	"OK"	200	0	0	2007-06-02 03:45:58	4.24	1180781158.53
60	102400	0	"OK"	200	0	0	2007-06-02 03:46:06	6.92	1180781166.7
61	1024	0	"OK"	200	0	0	2007-06-02 03:46:08	0.81	1180781168.93
62	10240	0	"OK"	200	0	0	2007-06-02 03:46:11	1.74	1180781171.9
63	51200	0	"OK"	200	0	0	2007-06-02 03:46:18	4.78	1180781178.23
64	102400	0	"OK"	200	0	0	2007-06-02 03:46:26	6.6	1180781186.18
65	1024	0	"OK"	200	0	0	2007-06-02 03:46:28	1.01	1180781188.5
66	10240	0	"OK"	200	0	0	2007-06-02 03:46:31	1.66	1180781191.52
67	51200	0	"OK"	200	0	0	2007-06-02 03:46:37	4.56	1180781197.51
68	102400	0	"OK"	200	0	0	2007-06-02 03:46:45	6.68	1180781205.54
69	1024	0	"OK"	200	0	0	2007-06-02 03:46:47	0.79	1180781207.7
70	10240	0	"OK"	200	0	0	2007-06-02 03:46:50	1.66	1180781210.81
71	51200	0	"OK"	200	0	0	2007-06-02 03:46:56	4.2	1180781216.36
72	102400	0	"OK"	200	0	0	2007-06-02 03:47:04	6.48	1180781224.19
73	1024	0	"OK"	200	0	0	2007-06-02 03:47:06	0.81	1180781226.36
74	10240	0	"OK"	200	0	0	2007-06-02 03:47:09	1.64	1180781229.22
75	51200	0	"OK"	200	0	0	2007-06-02 03:47:14	4.11	1180781234.58
76	102400	0	"OK"	200	0	0	2007-06-02 03:47:22	6.9	1180781242.75
77	1024	0	"OK"	200	0	0	2007-06-02 03:47:24	0.81	1180781244.93
78	10240	0	"OK"	200	0	0	2007-06-02 03:47:27	1.66	1180781247.84
79	51200	0	"OK"	200	0	0	2007-06-02 03:47:33	4.2	1180781253.3
80	102400	0	"OK"	200	0	0	2007-06-02 03:47:41	6.72	1180781261.3
81	1024	0	"OK"	200	0	0	2007-06-02 03:47:43	0.81	1180781263.46
82	10240	0	"OK"	200	0	0	2007-06-02 03:47:46	2.06	1180781266.8
83	51200	0	"OK"	200	0	0	2007-06-02 03:47:52	4.4	1180781272.48
84	102400	0	"OK"	200	0	0	2007-06-02 03:48:00	6.6	1180781280.48
85	1024	0	"OK"	200	0	0	2007-06-02 03:48:02	0.75	1180781282.54
86	10240	0	"OK"	200	0	0	2007-06-02 03:48:05	1.62	1180781285.54
87	51200	0	"OK"	200	0	0	2007-06-02 03:48:11	4.32	1180781291.14
88	102400	0	"OK"	200	0	0	2007-06-02 03:48:18	6.36	1180781298.78
89	1024	0	"OK"	200	0	0	2007-06-02 03:48:20	0.81	1180781300.81
90	10240	0	"OK"	200	0	0	2007-06-02 03:48:23	1.61	1180781303.76
91	51200	0	"OK"	200	0	0	2007-06-02 03:48:29	4.4	1180781309.46
92	102400	0	"OK"	200	0	0	2007-06-02 03:48:37	6.46	1180781317.26
93	1024	0	"OK"	200	0	0	2007-06-02 03:48:39	0.79	1180781319.36
94	10240	0	"OK"	200	0	0	2007-06-02 03:48:49	9.29	1180781329.99
95	51200	0	"OK"	200	0	0	2007-06-02 03:48:56	4.85	1180781336.59
96	102400	0	"OK"	200	0	0	2007-06-02 03:49:06	7.86	1180781346.26
97	1024	0	"OK"	200	0	0	2007-06-02 03:49:08	0.88	1180781348.53
98	10240	0	"OK"	200	0	0	2007-06-02 03:49:11	1.94	1180781351.8
99	51200	0	"OK"	200	0	0	2007-06-02 03:49:17	4.54	1180781357.58
100	102400	0	"OK"	200	0	0	2007-06-02 03:49:25	6.49	1180781365.58
101	1024	0	"OK"	200	0	0	2007-06-02 03:49:28	0.69	1180781368.64
102	10240	0	"OK"	200	0	0	2007-06-02 03:49:31	1.61	1180781372
103	51200	0	"OK"	200	0	0	2007-06-02 03:49:56	5.25	1180781396.3
104	102400	0	"OK"	200	0	0	2007-06-02 03:50:04	6.98	1180781404.7
