"file_size_bytes","phone_id","response_reason","response_status","signal_bars","signal_dbm","time_date","time_download","time_epoch"
1024,2,"OK",200,7,84,2007-05-18 01:44:03,1.23,1179477843
10240,2,"OK",200,7,84,2007-05-18 01:44:07,1.78,1179477847
51200,2,"OK",200,7,84,2007-05-18 01:44:14,4.14,1179477854
102400,2,"OK",200,7,84,2007-05-18 01:44:23,6.91,1179477863
1024,2,"OK",200,7,84,2007-05-18 01:44:27,1.19,1179477867
10240,2,"OK",200,7,84,2007-05-18 01:44:32,2.13,1179477872
51200,2,"OK",200,7,84,2007-05-18 01:44:39,4.66,1179477879
102400,2,"OK",200,7,84,2007-05-18 01:44:48,6.75,1179477888
1024,2,"OK",200,7,84,2007-05-18 01:44:52,1.31,1179477892
10240,2,"OK",200,7,84,2007-05-18 01:44:56,2.03,1179477896
51200,2,"OK",200,7,84,2007-05-18 01:45:03,4.47,1179477903
102400,2,"OK",200,7,84,2007-05-18 01:45:13,8.13,1179477913
1024,2,"OK",200,7,84,2007-05-18 01:45:17,1.31,1179477917
10240,2,"OK",200,7,84,2007-05-18 01:45:22,2.03,1179477922
51200,2,"OK",200,7,84,2007-05-18 01:45:29,4.45,1179477929
102400,2,"OK",200,7,84,2007-05-18 01:45:38,6.63,1179477938
1024,2,"OK",200,7,84,2007-05-18 01:45:42,1.28,1179477942
10240,2,"OK",200,7,84,2007-05-18 01:45:46,2.11,1179477946
51200,2,"OK",200,7,84,2007-05-18 01:45:53,4.2,1179477953
102400,2,"OK",200,7,84,2007-05-18 01:46:03,7.64,1179477963
1024,2,"OK",200,7,84,2007-05-18 01:46:07,1.48,1179477967
10240,2,"OK",200,7,84,2007-05-18 01:46:13,2.5,1179477973
51200,2,"OK",200,7,84,2007-05-18 01:46:19,3.89,1179477979
102400,2,"OK",200,7,84,2007-05-18 01:46:27,6.11,1179477987
1024,2,"OK",200,7,84,2007-05-18 01:46:31,1.7,1179477991
10240,2,"OK",200,7,84,2007-05-18 01:46:36,2.39,1179477996
51200,2,"OK",200,7,84,2007-05-18 01:46:43,4.39,1179478003
102400,2,"OK",200,7,84,2007-05-18 01:46:53,7.75,1179478013
1024,2,"OK",200,7,84,2007-05-18 01:46:57,1.38,1179478017
10240,2,"OK",200,7,84,2007-05-18 01:47:04,4.8,1179478024
51200,2,"OK",200,7,84,2007-05-18 01:47:11,4.17,1179478031
102400,2,"OK",200,7,84,2007-05-18 01:47:20,6.94,1179478040
1024,2,"OK",200,7,84,2007-05-18 01:47:24,1.41,1179478044
10240,2,"OK",200,7,84,2007-05-18 01:47:28,1.81,1179478048
51200,2,"OK",200,7,84,2007-05-18 01:47:34,4.05,1179478054
102400,2,"OK",200,7,84,2007-05-18 01:47:45,8.38,1179478065
1024,2,"OK",200,7,84,2007-05-18 01:47:48,1.3,1179478068
10240,2,"OK",200,7,84,2007-05-18 01:47:52,1.84,1179478072
51200,2,"OK",200,7,84,2007-05-18 01:48:00,4.58,1179478080
102400,2,"OK",200,7,84,2007-05-18 01:48:09,6.58,1179478089
1024,2,"OK",200,7,84,2007-05-18 01:48:12,1.53,1179478092
10240,2,"OK",200,7,84,2007-05-18 01:48:16,1.7,1179478096
51200,2,"OK",200,7,84,2007-05-18 01:48:23,4.39,1179478103
102400,2,"OK",200,7,84,2007-05-18 01:48:33,8.31,1179478113
1024,2,"OK",200,7,84,2007-05-18 01:48:37,1.52,1179478117
10240,2,"OK",200,7,84,2007-05-18 01:48:42,2.34,1179478122
51200,2,"OK",200,7,84,2007-05-18 01:48:50,6.02,1179478130
102400,2,"OK",200,7,84,2007-05-18 01:48:59,6.95,1179478139
1024,2,"OK",200,7,84,2007-05-18 01:49:03,1.36,1179478143
10240,2,"OK",200,7,84,2007-05-18 01:49:07,1.78,1179478147
51200,2,"OK",200,7,84,2007-05-18 01:49:13,3.92,1179478153
102400,2,"OK",200,7,84,2007-05-18 01:49:22,6.94,1179478162
1024,2,"OK",200,7,84,2007-05-18 01:49:26,1.34,1179478166
10240,2,"OK",200,7,84,2007-05-18 01:49:30,2.05,1179478170
51200,2,"OK",200,7,84,2007-05-18 01:49:38,5.98,1179478178
102400,2,"OK",200,7,84,2007-05-18 01:49:47,6.33,1179478187
1024,2,"OK",200,7,84,2007-05-18 01:49:50,1.17,1179478190
10240,2,"OK",200,7,84,2007-05-18 01:49:54,1.75,1179478194
51200,2,"OK",200,7,84,2007-05-18 01:50:01,4.47,1179478201
102400,2,"OK",200,7,84,2007-05-18 01:50:09,6.25,1179478209
1024,2,"OK",200,7,84,2007-05-18 01:50:13,1.33,1179478213
10240,2,"OK",200,7,84,2007-05-18 01:50:17,2.11,1179478217
51200,2,"OK",200,7,84,2007-05-18 01:50:25,5.19,1179478225
102400,2,"OK",200,7,84,2007-05-18 01:50:34,6.52,1179478234
1024,2,"OK",200,7,84,2007-05-18 01:50:38,1.42,1179478238
10240,2,"OK",200,7,84,2007-05-18 01:50:42,1.84,1179478242
51200,2,"OK",200,7,84,2007-05-18 01:50:50,6.33,1179478250
102400,2,"OK",200,7,84,2007-05-18 01:50:59,6.14,1179478259
1024,2,"OK",200,7,84,2007-05-18 01:51:03,1.44,1179478263
10240,2,"OK",200,7,84,2007-05-18 01:51:07,1.81,1179478267
51200,2,"OK",200,7,84,2007-05-18 01:51:14,5.2,1179478274
102400,2,"OK",200,7,84,2007-05-18 01:51:23,6.39,1179478283
1024,2,"OK",200,7,84,2007-05-18 01:51:27,1.33,1179478287
10240,2,"OK",200,7,84,2007-05-18 01:51:32,1.97,1179478292
51200,2,"OK",200,7,84,2007-05-18 01:51:39,5.11,1179478299
102400,2,"OK",200,7,84,2007-05-18 01:51:48,6.63,1179478308
1024,2,"OK",200,7,84,2007-05-18 01:51:51,1.55,1179478311
10240,2,"OK",200,7,84,2007-05-18 01:51:57,1.78,1179478317
51200,2,"OK",200,7,84,2007-05-18 01:52:05,5.48,1179478325
102400,2,"OK",200,7,84,2007-05-18 01:52:14,6.83,1179478334
1024,2,"OK",200,7,84,2007-05-18 01:52:18,1.47,1179478338
10240,2,"OK",200,7,84,2007-05-18 01:52:22,1.69,1179478342
51200,2,"OK",200,7,84,2007-05-18 01:52:29,4.75,1179478349
102400,2,"OK",200,7,84,2007-05-18 01:52:37,6.34,1179478357
1024,2,"OK",200,7,84,2007-05-18 01:52:41,1.28,1179478361
10240,2,"OK",200,7,84,2007-05-18 01:52:45,1.73,1179478365
51200,2,"OK",200,7,84,2007-05-18 01:52:52,4.38,1179478372
102400,2,"OK",200,7,84,2007-05-18 01:53:02,7.78,1179478382
1024,2,"OK",200,7,84,2007-05-18 01:53:06,1.39,1179478386
10240,2,"OK",200,7,84,2007-05-18 01:53:11,1.72,1179478391
51200,2,"OK",200,7,84,2007-05-18 01:53:18,4.25,1179478398
102400,2,"OK",200,7,84,2007-05-18 01:53:27,6.67,1179478407
1024,2,"OK",200,7,84,2007-05-18 01:53:30,1.56,1179478410
10240,2,"OK",200,7,84,2007-05-18 01:53:34,1.83,1179478414
51200,2,"OK",200,7,84,2007-05-18 01:53:41,4.06,1179478421
102400,2,"OK",200,7,84,2007-05-18 01:53:51,8.42,1179478431
1024,2,"OK",200,7,84,2007-05-18 01:53:55,1.27,1179478435
10240,2,"OK",200,7,84,2007-05-18 01:53:59,1.81,1179478439
51200,2,"OK",200,7,84,2007-05-18 01:54:05,3.86,1179478445
102400,2,"OK",200,7,84,2007-05-18 01:54:15,7.31,1179478455
1024,2,"OK",200,7,84,2007-05-18 01:54:19,1.45,1179478459
10240,2,"OK",200,7,84,2007-05-18 01:54:23,2.19,1179478463
51200,2,"OK",200,7,84,2007-05-18 01:54:29,3.86,1179478469
102400,2,"OK",200,7,84,2007-05-18 01:54:41,9.58,1179478481
1024,2,"OK",200,7,84,2007-05-18 01:54:45,1.45,1179478485
10240,2,"OK",200,7,84,2007-05-18 01:54:49,1.86,1179478489
51200,2,"OK",200,7,84,2007-05-18 01:54:55,3.88,1179478495
102400,2,"OK",200,7,84,2007-05-18 01:55:05,7.23,1179478505
1024,2,"OK",200,7,84,2007-05-18 01:55:09,1.55,1179478509
10240,2,"OK",200,7,84,2007-05-18 01:55:13,2.09,1179478513
51200,2,"OK",200,7,84,2007-05-18 01:55:19,4.23,1179478519
102400,2,"OK",200,7,84,2007-05-18 01:55:31,9.28,1179478531
1024,2,"OK",200,7,84,2007-05-18 01:55:35,1.48,1179478535
10240,2,"OK",200,7,84,2007-05-18 01:55:39,1.94,1179478539
51200,2,"OK",200,7,84,2007-05-18 01:55:45,4.03,1179478545
102400,2,"OK",200,7,84,2007-05-18 01:55:54,6.88,1179478554
1024,2,"OK",200,7,84,2007-05-18 01:55:58,1.45,1179478558
10240,2,"OK",200,7,84,2007-05-18 01:56:02,1.81,1179478562
51200,2,"OK",200,7,84,2007-05-18 01:56:09,4.77,1179478569
102400,2,"OK",200,7,84,2007-05-18 01:56:20,8.81,1179478580
1024,2,"OK",200,7,84,2007-05-18 01:56:24,1.33,1179478584
10240,2,"OK",200,7,84,2007-05-18 01:56:28,1.81,1179478588
51200,2,"OK",200,7,84,2007-05-18 01:56:34,4.23,1179478594
102400,2,"OK",200,7,84,2007-05-18 01:56:43,6.7,1179478603
1024,2,"OK",200,7,84,2007-05-18 01:56:48,1.39,1179478608
10240,2,"OK",200,7,84,2007-05-18 01:56:52,1.89,1179478612
51200,2,"OK",200,7,84,2007-05-18 01:56:59,5.3,1179478619
102400,2,"OK",200,7,84,2007-05-18 01:57:09,7,1179478629
