file_size_bytes,response_reason,response_status,signal_bars,signal_dbm,time_date,time_download,time_epoch
1024,OK,200,7,69,0000-00-00 00:00:00,1.28125,1179265549
1024,OK,200,7,69,0000-00-00 00:00:00,1.28125,1179265549
1024,OK,200,7,69,0000-00-00 00:00:00,1.28125,1179265549
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265553
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265553
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265553
51200,OK,200,7,69,0000-00-00 00:00:00,4.03125,1179265559
51200,OK,200,7,69,0000-00-00 00:00:00,4.03125,1179265559
51200,OK,200,7,69,0000-00-00 00:00:00,4.03125,1179265559
102400,OK,200,7,69,0000-00-00 00:00:00,7.8125,1179265569
102400,OK,200,7,69,0000-00-00 00:00:00,7.8125,1179265569
102400,OK,200,7,69,0000-00-00 00:00:00,7.8125,1179265569
1024,OK,200,7,69,0000-00-00 00:00:00,1.26562,1179265573
1024,OK,200,7,69,0000-00-00 00:00:00,1.26562,1179265573
1024,OK,200,7,69,0000-00-00 00:00:00,1.26562,1179265573
10240,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265577
10240,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265577
10240,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265577
51200,OK,200,7,69,0000-00-00 00:00:00,3.48438,1179265583
51200,OK,200,7,69,0000-00-00 00:00:00,3.48438,1179265583
51200,OK,200,7,69,0000-00-00 00:00:00,3.48438,1179265583
102400,OK,200,7,69,0000-00-00 00:00:00,7.17188,1179265592
102400,OK,200,7,69,0000-00-00 00:00:00,7.17188,1179265592
102400,OK,200,7,69,0000-00-00 00:00:00,7.17188,1179265592
1024,OK,200,7,69,0000-00-00 00:00:00,1.17188,1179265596
1024,OK,200,7,69,0000-00-00 00:00:00,1.17188,1179265596
1024,OK,200,7,69,0000-00-00 00:00:00,1.17188,1179265596
10240,OK,200,7,69,0000-00-00 00:00:00,1.59375,1179265599
10240,OK,200,7,69,0000-00-00 00:00:00,1.59375,1179265599
10240,OK,200,7,69,0000-00-00 00:00:00,1.59375,1179265599
51200,OK,200,7,69,0000-00-00 00:00:00,3.73438,1179265605
51200,OK,200,7,69,0000-00-00 00:00:00,3.73438,1179265605
51200,OK,200,7,69,0000-00-00 00:00:00,3.73438,1179265605
102400,OK,200,7,69,0000-00-00 00:00:00,7.39062,1179265615
102400,OK,200,7,69,0000-00-00 00:00:00,7.39062,1179265615
102400,OK,200,7,69,0000-00-00 00:00:00,7.39062,1179265615
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265618
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265618
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265618
10240,OK,200,7,69,0000-00-00 00:00:00,1.75,1179265622
10240,OK,200,7,69,0000-00-00 00:00:00,1.75,1179265622
10240,OK,200,7,69,0000-00-00 00:00:00,1.75,1179265622
51200,OK,200,7,69,0000-00-00 00:00:00,3.98438,1179265628
51200,OK,200,7,69,0000-00-00 00:00:00,3.98438,1179265628
51200,OK,200,7,69,0000-00-00 00:00:00,3.98438,1179265628
102400,OK,200,7,69,0000-00-00 00:00:00,6.64062,1179265637
102400,OK,200,7,69,0000-00-00 00:00:00,6.64062,1179265637
102400,OK,200,7,69,0000-00-00 00:00:00,6.64062,1179265637
1024,OK,200,7,69,0000-00-00 00:00:00,1.39062,1179265641
1024,OK,200,7,69,0000-00-00 00:00:00,1.39062,1179265641
1024,OK,200,7,69,0000-00-00 00:00:00,1.39062,1179265641
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265645
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265645
10240,OK,200,7,69,0000-00-00 00:00:00,1.82812,1179265645
51200,OK,200,7,69,0000-00-00 00:00:00,5,1179265652
51200,OK,200,7,69,0000-00-00 00:00:00,5,1179265652
51200,OK,200,7,69,0000-00-00 00:00:00,5,1179265652
102400,OK,200,7,69,0000-00-00 00:00:00,6.15625,1179265661
102400,OK,200,7,69,0000-00-00 00:00:00,6.15625,1179265661
102400,OK,200,7,69,0000-00-00 00:00:00,6.15625,1179265661
1024,OK,200,7,69,0000-00-00 00:00:00,1.76562,1179265665
1024,OK,200,7,69,0000-00-00 00:00:00,1.76562,1179265665
1024,OK,200,7,69,0000-00-00 00:00:00,1.76562,1179265665
10240,OK,200,7,69,0000-00-00 00:00:00,2.625,1179265671
10240,OK,200,7,69,0000-00-00 00:00:00,2.625,1179265671
10240,OK,200,7,69,0000-00-00 00:00:00,2.625,1179265671
51200,OK,200,7,69,0000-00-00 00:00:00,4.09375,1179265678
51200,OK,200,7,69,0000-00-00 00:00:00,4.09375,1179265678
51200,OK,200,7,69,0000-00-00 00:00:00,4.09375,1179265678
102400,OK,200,7,69,0000-00-00 00:00:00,8.3125,1179265689
102400,OK,200,7,69,0000-00-00 00:00:00,8.3125,1179265689
102400,OK,200,7,69,0000-00-00 00:00:00,8.3125,1179265689
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265692
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265692
1024,OK,200,7,69,0000-00-00 00:00:00,1.20312,1179265692
10240,OK,200,7,69,0000-00-00 00:00:00,1.6875,1179265696
10240,OK,200,7,69,0000-00-00 00:00:00,1.6875,1179265696
10240,OK,200,7,69,0000-00-00 00:00:00,1.6875,1179265696
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265702
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265702
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265702
102400,OK,200,7,69,0000-00-00 00:00:00,6.14062,1179265711
102400,OK,200,7,69,0000-00-00 00:00:00,6.14062,1179265711
102400,OK,200,7,69,0000-00-00 00:00:00,6.14062,1179265711
1024,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265715
1024,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265715
1024,OK,200,7,69,0000-00-00 00:00:00,1.85938,1179265715
10240,OK,200,7,69,0000-00-00 00:00:00,1.90625,1179265719
10240,OK,200,7,69,0000-00-00 00:00:00,1.90625,1179265719
10240,OK,200,7,69,0000-00-00 00:00:00,1.90625,1179265719
51200,OK,200,7,69,0000-00-00 00:00:00,3.89062,1179265726
51200,OK,200,7,69,0000-00-00 00:00:00,3.89062,1179265726
51200,OK,200,7,69,0000-00-00 00:00:00,3.89062,1179265726
102400,OK,200,7,69,0000-00-00 00:00:00,6.85938,1179265735
102400,OK,200,7,69,0000-00-00 00:00:00,6.85938,1179265735
102400,OK,200,7,69,0000-00-00 00:00:00,6.85938,1179265735
1024,OK,200,7,69,0000-00-00 00:00:00,1.57812,1179265739
1024,OK,200,7,69,0000-00-00 00:00:00,1.57812,1179265739
1024,OK,200,7,69,0000-00-00 00:00:00,1.57812,1179265739
10240,OK,200,7,69,0000-00-00 00:00:00,3.09375,1179265744
10240,OK,200,7,69,0000-00-00 00:00:00,3.09375,1179265744
10240,OK,200,7,69,0000-00-00 00:00:00,3.09375,1179265744
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265750
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265750
51200,OK,200,7,69,0000-00-00 00:00:00,3.5625,1179265750
102400,OK,200,7,69,0000-00-00 00:00:00,5.73438,1179265758
102400,OK,200,7,69,0000-00-00 00:00:00,5.73438,1179265758
102400,OK,200,7,69,0000-00-00 00:00:00,5.73438,1179265758
1024,OK,200,7,69,0000-00-00 00:00:00,1.14062,1179265761
1024,OK,200,7,69,0000-00-00 00:00:00,1.14062,1179265761
1024,OK,200,7,69,0000-00-00 00:00:00,1.14062,1179265761
10240,OK,200,7,69,0000-00-00 00:00:00,1.625,1179265765
10240,OK,200,7,69,0000-00-00 00:00:00,1.625,1179265765
10240,OK,200,7,69,0000-00-00 00:00:00,1.625,1179265765
51200,OK,200,7,69,0000-00-00 00:00:00,4.98438,1179265772
51200,OK,200,7,69,0000-00-00 00:00:00,4.98438,1179265772
51200,OK,200,7,69,0000-00-00 00:00:00,4.98438,1179265772
102400,OK,200,7,69,0000-00-00 00:00:00,6.34375,1179265780
102400,OK,200,7,69,0000-00-00 00:00:00,6.34375,1179265780
102400,OK,200,7,69,0000-00-00 00:00:00,6.34375,1179265780
1024,OK,200,7,69,0000-00-00 00:00:00,1.1875,1179265784
1024,OK,200,7,69,0000-00-00 00:00:00,1.1875,1179265784
