"file_size_bytes","phone_id","response_reason","response_status","signal_bars","signal_dbm","time_date","time_download","time_epoch"
1024,2,"OK",200,7,82,2007-05-17 00:58:18,1.59,1179388698
10240,2,"OK",200,7,82,2007-05-17 00:58:23,2.58,1179388703
51200,2,"OK",200,7,82,2007-05-17 00:58:31,5.69,1179388711
102400,2,"OK",200,7,82,2007-05-17 00:58:45,10.8,1179388725
1024,2,"OK",200,7,82,2007-05-17 00:58:48,1.5,1179388728
10240,2,"OK",200,7,82,2007-05-17 00:58:53,2.08,1179388733
51200,2,"OK",200,7,82,2007-05-17 00:59:01,5.94,1179388741
102400,2,"OK",200,7,82,2007-05-17 00:59:14,10.39,1179388754
1024,2,"OK",200,7,82,2007-05-17 00:59:18,1.58,1179388758
10240,2,"OK",200,7,82,2007-05-17 00:59:23,2.2,1179388763
51200,2,"OK",200,7,82,2007-05-17 00:59:32,6.5,1179388772
102400,2,"OK",200,7,82,2007-05-17 00:59:45,11.34,1179388785
1024,2,"OK",200,7,84,2007-05-17 00:59:50,1.86,1179388790
10240,2,"OK",200,7,84,2007-05-17 00:59:55,2.22,1179388795
51200,2,"OK",200,7,84,2007-05-17 01:00:04,6.7,1179388804
102400,2,"OK",200,7,84,2007-05-17 01:00:18,11.8,1179388818
1024,2,"OK",200,7,84,2007-05-17 01:00:22,1.56,1179388822
10240,2,"OK",200,7,84,2007-05-17 01:00:27,2.06,1179388827
51200,2,"OK",200,7,84,2007-05-17 01:00:35,6.3,1179388835
102400,2,"OK",200,7,84,2007-05-17 01:00:48,10.14,1179388848
1024,2,"OK",200,7,84,2007-05-17 01:00:52,1.55,1179388852
10240,2,"OK",200,7,84,2007-05-17 01:00:56,2.64,1179388856
51200,2,"OK",200,7,84,2007-05-17 01:01:05,5.91,1179388865
102400,2,"OK",200,7,84,2007-05-17 01:01:18,10.81,1179388878
1024,2,"OK",200,7,84,2007-05-17 01:01:22,1.36,1179388882
10240,2,"OK",200,7,84,2007-05-17 01:01:27,2.83,1179388887
51200,2,"OK",200,7,84,2007-05-17 01:01:35,6.05,1179388895
102400,2,"OK",200,7,84,2007-05-17 01:01:48,10.34,1179388908
1024,2,"OK",200,7,84,2007-05-17 01:01:51,1.31,1179388911
10240,2,"OK",200,7,84,2007-05-17 01:01:56,2.3,1179388916
51200,2,"OK",200,7,84,2007-05-17 01:02:03,4.84,1179388923
102400,2,"OK",200,7,84,2007-05-17 01:02:13,8.41,1179388933
1024,2,"OK",200,7,84,2007-05-17 01:02:17,1.45,1179388937
10240,2,"OK",200,7,84,2007-05-17 01:02:22,2.42,1179388942
51200,2,"OK",200,7,84,2007-05-17 01:02:30,5.66,1179388950
102400,2,"OK",200,7,84,2007-05-17 01:02:41,8.59,1179388961
1024,2,"OK",200,7,84,2007-05-17 01:02:45,1.55,1179388965
10240,2,"OK",200,7,84,2007-05-17 01:02:49,2.23,1179388969
51200,2,"OK",200,7,84,2007-05-17 01:02:56,4.8,1179388976
102400,2,"OK",200,7,84,2007-05-17 01:03:05,7.03,1179388985
1024,2,"OK",200,7,84,2007-05-17 01:03:09,1.44,1179388989
10240,2,"OK",200,7,84,2007-05-17 01:03:14,2.52,1179388994
51200,2,"OK",200,7,84,2007-05-17 01:03:20,4.58,1179389000
102400,2,"OK",200,7,84,2007-05-17 01:03:30,7.61,1179389010
1024,2,"OK",200,7,84,2007-05-17 01:03:34,1.2,1179389014
10240,2,"OK",200,7,84,2007-05-17 01:03:39,2.06,1179389019
51200,2,"OK",200,7,84,2007-05-17 01:03:47,5.8,1179389027
102400,2,"OK",200,7,84,2007-05-17 01:03:57,8.09,1179389037
1024,2,"OK",200,7,84,2007-05-17 01:04:01,1.44,1179389041
10240,2,"OK",200,7,84,2007-05-17 01:04:06,2.2,1179389046
51200,2,"OK",200,7,84,2007-05-17 01:04:13,5.38,1179389053
102400,2,"OK",200,7,84,2007-05-17 01:04:24,8.58,1179389064
1024,2,"OK",200,7,84,2007-05-17 01:04:27,1.55,1179389067
10240,2,"OK",200,7,84,2007-05-17 01:04:32,2,1179389072
51200,2,"OK",200,7,84,2007-05-17 01:04:39,4.73,1179389079
102400,2,"OK",200,7,84,2007-05-17 01:04:48,7.61,1179389088
1024,2,"OK",200,7,84,2007-05-17 01:04:52,1.44,1179389092
10240,2,"OK",200,7,84,2007-05-17 01:04:56,1.95,1179389096
51200,2,"OK",200,7,84,2007-05-17 01:05:03,4.47,1179389103
102400,2,"OK",200,7,84,2007-05-17 01:05:14,8.8,1179389114
1024,2,"OK",200,7,84,2007-05-17 01:05:18,1.75,1179389118
10240,2,"OK",200,7,84,2007-05-17 01:05:23,2.13,1179389123
51200,2,"OK",200,7,84,2007-05-17 01:05:31,5.97,1179389131
102400,2,"OK",200,7,84,2007-05-17 01:05:43,10.05,1179389143
1024,2,"OK",200,7,84,2007-05-17 01:05:47,1.42,1179389147
10240,2,"OK",200,7,84,2007-05-17 01:05:51,1.98,1179389151
51200,2,"OK",200,7,84,2007-05-17 01:05:58,4.89,1179389158
102400,2,"OK",200,7,84,2007-05-17 01:06:08,7.8,1179389168
1024,2,"OK",200,7,84,2007-05-17 01:06:11,1.44,1179389171
10240,2,"OK",200,7,84,2007-05-17 01:06:15,2.03,1179389175
51200,2,"OK",200,7,84,2007-05-17 01:06:23,5.09,1179389183
102400,2,"OK",200,7,84,2007-05-17 01:06:33,8.22,1179389193
1024,2,"OK",200,7,84,2007-05-17 01:06:37,1.44,1179389197
10240,2,"OK",200,7,84,2007-05-17 01:06:41,2.08,1179389201
51200,2,"OK",200,7,84,2007-05-17 01:06:51,7.27,1179389211
102400,2,"OK",200,7,84,2007-05-17 01:07:04,10.8,1179389224
1024,2,"OK",200,7,84,2007-05-17 01:07:08,1.86,1179389228
10240,2,"OK",200,7,84,2007-05-17 01:07:13,1.94,1179389233
51200,2,"OK",200,7,84,2007-05-17 01:07:21,6.23,1179389241
102400,2,"OK",200,7,84,2007-05-17 01:07:36,11.78,1179389256
1024,2,"OK",200,7,84,2007-05-17 01:07:40,1.52,1179389260
10240,2,"OK",200,7,84,2007-05-17 01:07:44,2.22,1179389264
51200,2,"OK",200,7,84,2007-05-17 01:07:53,6.41,1179389273
102400,2,"OK",200,7,84,2007-05-17 01:08:06,10.38,1179389286
1024,2,"OK",200,7,84,2007-05-17 01:08:09,1.34,1179389289
10240,2,"OK",200,7,84,2007-05-17 01:08:14,2.38,1179389294
51200,2,"OK",200,7,84,2007-05-17 01:08:23,6.61,1179389303
102400,2,"OK",200,7,84,2007-05-17 01:08:35,9.52,1179389315
1024,2,"OK",200,7,84,2007-05-17 01:08:39,1.48,1179389319
10240,2,"OK",200,7,84,2007-05-17 01:08:43,2.23,1179389323
51200,2,"OK",200,7,84,2007-05-17 01:08:52,5.86,1179389332
102400,2,"OK",200,7,84,2007-05-17 01:09:08,14.34,1179389348
1024,2,"OK",200,7,84,2007-05-17 01:09:12,1.53,1179389352
10240,2,"OK",200,7,84,2007-05-17 01:09:17,2.45,1179389357
51200,2,"OK",200,7,84,2007-05-17 01:09:25,5.97,1179389365
102400,2,"OK",200,7,84,2007-05-17 01:09:38,9.94,1179389378
1024,2,"OK",200,7,84,2007-05-17 01:09:42,1.25,1179389382
10240,2,"OK",200,7,84,2007-05-17 01:09:47,3.39,1179389387
51200,2,"OK",200,7,84,2007-05-17 01:09:56,6.48,1179389396
102400,2,"OK",200,7,84,2007-05-17 01:10:11,12.02,1179389411
1024,2,"OK",200,7,84,2007-05-17 01:10:15,1.38,1179389415
10240,2,"OK",200,7,84,2007-05-17 01:10:19,2.25,1179389419
51200,2,"OK",200,7,84,2007-05-17 01:10:27,5.91,1179389427
102400,2,"OK",200,7,84,2007-05-17 01:10:42,12.13,1179389442
1024,2,"OK",200,7,84,2007-05-17 01:10:46,1.23,1179389446
10240,2,"OK",200,7,84,2007-05-17 01:10:51,2.53,1179389451
51200,2,"OK",200,7,84,2007-05-17 01:10:59,6.63,1179389459
102400,2,"OK",200,7,84,2007-05-17 01:11:13,11.11,1179389473
1024,2,"OK",200,7,84,2007-05-17 01:11:17,1.66,1179389477
10240,2,"OK",200,7,84,2007-05-17 01:11:21,2.34,1179389481
51200,2,"OK",200,7,84,2007-05-17 01:11:31,6.97,1179389491
