sbid,file_size_bytes,phone_id,response_reason,response_status,signal_bars,signal_dbm,time_date,time_download,time_epoch
1,1024,2,OK,200,7,62,2007-05-20 13:54:09,1.38,1179694449
2,10240,2,OK,200,7,62,2007-05-20 13:54:12,1.63,1179694452
3,51200,2,OK,200,7,62,2007-05-20 13:54:18,3.75,1179694458
4,102400,2,OK,200,7,62,2007-05-20 13:54:26,5.48,1179694466
5,1024,2,OK,200,7,62,2007-05-20 13:54:29,1.23,1179694469
6,10240,2,OK,200,7,62,2007-05-20 13:54:33,1.52,1179694473
7,51200,2,OK,200,7,62,2007-05-20 13:54:38,3.66,1179694478
8,102400,2,OK,200,7,62,2007-05-20 13:54:46,5.39,1179694486
9,1024,2,OK,200,7,62,2007-05-20 13:54:50,1.52,1179694490
10,10240,2,OK,200,7,62,2007-05-20 13:54:53,1.48,1179694493
11,51200,2,OK,200,7,62,2007-05-20 13:54:58,3.36,1179694498
12,102400,2,OK,200,7,62,2007-05-20 13:55:06,5.27,1179694506
13,1024,2,OK,200,7,62,2007-05-20 13:55:09,1.23,1179694509
14,10240,2,OK,200,7,62,2007-05-20 13:55:13,1.63,1179694513
15,51200,2,OK,200,7,62,2007-05-20 13:55:18,3.27,1179694518
16,102400,2,OK,200,7,62,2007-05-20 13:55:26,5.5,1179694526
17,1024,2,OK,200,7,62,2007-05-20 13:55:29,1.28,1179694529
18,10240,2,OK,200,7,62,2007-05-20 13:55:33,1.5,1179694533
19,51200,2,OK,200,7,62,2007-05-20 13:55:38,3.2,1179694538
20,102400,2,OK,200,7,62,2007-05-20 13:55:46,5.55,1179694546
21,1024,2,OK,200,7,62,2007-05-20 13:55:49,1.27,1179694549
22,10240,2,OK,200,7,62,2007-05-20 13:55:53,1.47,1179694553
23,51200,2,OK,200,7,62,2007-05-20 13:55:58,3.25,1179694558
24,102400,2,OK,200,7,62,2007-05-20 13:56:05,5.13,1179694565
25,1024,2,OK,200,7,62,2007-05-20 13:56:09,1.09,1179694569
26,10240,2,OK,200,7,62,2007-05-20 13:56:12,1.5,1179694572
27,51200,2,OK,200,7,62,2007-05-20 13:56:18,3.66,1179694578
28,102400,2,OK,200,7,62,2007-05-20 13:56:25,5.45,1179694585
29,1024,2,OK,200,7,62,2007-05-20 13:56:28,1.19,1179694588
30,10240,2,OK,200,7,62,2007-05-20 13:56:34,2.47,1179694594
31,51200,2,OK,200,7,62,2007-05-20 13:56:39,3.19,1179694599
32,102400,2,OK,200,7,62,2007-05-20 13:56:46,5.13,1179694606
33,1024,2,OK,200,7,62,2007-05-20 13:56:50,1.25,1179694610
34,10240,2,OK,200,7,62,2007-05-20 13:56:53,1.69,1179694613
35,51200,2,OK,200,7,62,2007-05-20 13:56:59,3.28,1179694619
36,102400,2,OK,200,7,62,2007-05-20 13:57:06,5.48,1179694626
37,1024,2,OK,200,7,62,2007-05-20 13:57:10,1.27,1179694630
38,10240,2,OK,200,7,62,2007-05-20 13:57:13,1.5,1179694633
39,51200,2,OK,200,7,62,2007-05-20 13:57:18,3.25,1179694638
40,102400,2,OK,200,7,62,2007-05-20 13:57:25,5.14,1179694645
41,1024,2,OK,200,7,62,2007-05-20 13:57:29,1.16,1179694649
42,10240,2,OK,200,7,62,2007-05-20 13:57:32,1.59,1179694652
43,51200,2,OK,200,7,62,2007-05-20 13:57:38,3.75,1179694658
44,102400,2,OK,200,7,62,2007-05-20 13:57:45,5.47,1179694665
45,1024,2,OK,200,7,62,2007-05-20 13:57:49,1.17,1179694669
46,10240,2,OK,200,7,62,2007-05-20 13:57:52,1.53,1179694672
47,51200,2,OK,200,7,62,2007-05-20 13:57:58,3.66,1179694678
48,102400,2,OK,200,7,62,2007-05-20 13:58:05,5.41,1179694685
49,1024,2,OK,200,7,62,2007-05-20 13:58:09,1.17,1179694689
50,10240,2,OK,200,7,62,2007-05-20 13:58:12,1.48,1179694692
51,51200,2,OK,200,7,62,2007-05-20 13:58:17,3.27,1179694697
52,102400,2,OK,200,7,62,2007-05-20 13:58:25,5.44,1179694705
53,1024,2,OK,200,7,62,2007-05-20 13:58:28,1.13,1179694708
54,10240,2,OK,200,7,62,2007-05-20 13:58:31,1.48,1179694711
55,51200,2,OK,200,7,62,2007-05-20 13:58:37,3.33,1179694717
56,102400,2,OK,200,7,62,2007-05-20 13:58:44,5.47,1179694724
57,1024,2,OK,200,7,62,2007-05-20 13:58:47,1.39,1179694727
58,10240,2,OK,200,7,62,2007-05-20 13:58:51,1.48,1179694731
59,51200,2,OK,200,7,62,2007-05-20 13:58:56,3.69,1179694736
60,102400,2,OK,200,7,62,2007-05-20 13:59:05,6.5,1179694745
61,1024,2,OK,200,7,62,2007-05-20 13:59:08,1.27,1179694748
62,10240,2,OK,200,7,62,2007-05-20 13:59:12,1.59,1179694752
63,51200,2,OK,200,7,62,2007-05-20 13:59:17,3.22,1179694757
64,102400,2,OK,200,7,62,2007-05-20 13:59:25,5.72,1179694765
65,1024,2,OK,200,7,62,2007-05-20 13:59:29,1.11,1179694769
66,10240,2,OK,200,7,62,2007-05-20 13:59:33,1.61,1179694773
67,51200,2,OK,200,7,62,2007-05-20 13:59:38,3.53,1179694778
68,102400,2,OK,200,7,62,2007-05-20 13:59:45,5.42,1179694785
69,1024,2,OK,200,7,62,2007-05-20 13:59:49,1.11,1179694789
70,10240,2,OK,200,7,62,2007-05-20 13:59:52,1.44,1179694792
71,51200,2,OK,200,7,62,2007-05-20 13:59:57,3.19,1179694797
72,102400,2,OK,200,7,62,2007-05-20 14:00:05,5.48,1179694805
73,1024,2,OK,200,7,62,2007-05-20 14:00:08,1.31,1179694808
74,10240,2,OK,200,7,62,2007-05-20 14:00:12,1.56,1179694812
75,51200,2,OK,200,7,62,2007-05-20 14:00:18,3.55,1179694818
76,102400,2,OK,200,7,62,2007-05-20 14:00:27,7.19,1179694827
77,1024,2,OK,200,7,62,2007-05-20 14:00:30,1.08,1179694830
78,10240,2,OK,200,7,62,2007-05-20 14:00:34,1.53,1179694834
79,51200,2,OK,200,7,62,2007-05-20 14:00:39,3.25,1179694839
80,102400,2,OK,200,7,62,2007-05-20 14:00:46,5.25,1179694846
81,1024,2,OK,200,7,62,2007-05-20 14:00:50,1.27,1179694850
